Region,Industry,2017_c,2017_w,2018_c,2018_w,2019_c,2019_w,2020_c,2020_w,2021_c,2021_w,2022_c,2022_w,2019_diff_2018,2020_diff_2019,2021_diff_2020,2022_diff_2021,2023_predict
서울특별시 용산구,K,263,5839,241,5057,232,5068,223,4319,220,5346,244,6213,11,-749,1027,867,small_increase
서울특별시 용산구,L,501,3775,512,3574,571,3608,541,3039,447,2603,447,2391,34,-569,-436,-212,small_increase
서울특별시 용산구,M,602,17610,620,15225,656,15897,633,16319,668,17059,751,17090,672,422,740,31,small_increase
서울특별시 용산구,N,268,11739,282,10188,300,11207,267,11700,266,12465,276,9750,1019,493,765,-2715,small_increase
서울특별시 용산구,P,336,5482,321,5601,312,5145,307,5289,274,4654,304,5149,-456,144,-635,495,small_increase
서울특별시 용산구,Q,511,6136,534,6430,521,6945,515,7647,484,7005,526,7381,515,702,-642,376,small_increase
서울특별시 용산구,R,193,1328,193,1779,208,1542,161,1224,176,1552,175,2118,-237,-318,328,566,small_increase
서울특별시 용산구,S,748,4647,735,4934,717,4499,632,3750,591,3841,611,3818,-435,-749,91,-23,small_increase
서울특별시 성동구,A,1,2,1,3,2,5,2,9,4,12,4,12,2,4,3,0,big_increase
서울특별시 성동구,B,0,0,0,0,0,0,0,0,1,2,1,2,0,0,2,0,big_increase
서울특별시 성동구,C,3215,26338,3130,25406,2973,24480,2753,21620,3026,22890,3001,22517,-926,-2860,1270,-373,small_decrease
서울특별시 성동구,D,5,410,12,420,11,474,13,446,13,444,13,433,54,-28,-2,-11,big_increase
서울특별시 성동구,E,19,246,19,301,18,288,18,320,20,360,22,362,-13,32,40,2,big_increase
서울특별시 성동구,F,484,5791,484,5582,493,6146,431,6323,538,6180,530,7195,564,177,-143,1015,small_increase
서울특별시 성동구,G,4410,28938,4385,29320,4712,31357,4511,29158,4809,33097,4953,33940,2037,-2199,3939,843,small_increase
서울특별시 성동구,H,232,5800,252,6214,246,6229,217,5919,247,6605,262,5766,15,-310,686,-839,small_increase
서울특별시 성동구,I,2107,9309,2152,10004,2337,10673,1938,8365,2134,9389,2308,11161,669,-2308,1024,1772,small_decrease
서울특별시 성동구,J,658,8569,762,10582,805,11544,963,13526,1292,17930,1633,20727,962,1982,4404,2797,small_increase
서울특별시 성동구,K,253,3978,278,4295,279,3857,270,3722,269,4094,272,3713,-438,-135,372,-381,small_increase
서울특별시 성동구,L,657,4738,700,4754,755,4993,708,4224,837,4374,909,4736,239,-769,150,362,small_increase
서울특별시 성동구,M,1004,11476,1167,12938,1399,14856,1463,15863,1846,20516,2128,22363,1918,1007,4653,1847,small_increase
서울특별시 성동구,N,307,15413,323,18978,373,17528,370,17678,459,16321,478,15043,-1450,150,-1357,-1278,small_increase
서울특별시 성동구,P,512,8267,521,8111,562,8462,499,7633,508,6889,553,7886,351,-829,-744,997,small_increase
서울특별시 성동구,Q,718,8161,719,8314,735,9045,748,9255,751,9204,775,10042,731,210,-51,838,small_increase
서울특별시 성동구,R,234,1505,241,1496,283,1505,220,1508,251,1681,265,1710,9,3,173,29,small_increase
서울특별시 성동구,S,889,6161,870,6171,864,6412,759,5538,773,5546,809,5851,241,-874,8,305,small_decrease
서울특별시 광진구,A,1,3,1,3,0,0,0,0,1,2,3,4,-3,0,2,2,big_increase
서울특별시 광진구,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,big_increase
서울특별시 광진구,C,1203,6673,1129,6381,1077,6093,926,4978,912,4511,963,4973,-288,-1115,-467,462,small_decrease
서울특별시 광진구,D,2,3,2,68,2,7,1,1,3,11,2,8,-61,-6,10,-3,big_increase
서울특별시 광진구,E,11,147,11,150,11,146,10,147,12,149,13,192,-4,1,2,43,big_increase
서울특별시 광진구,F,602,12572,597,13453,621,13219,495,9399,521,12437,564,12744,-234,-3820,3038,307,small_decrease
서울특별시 광진구,G,2977,15582,2819,15215,3006,15981,2719,13990,2769,13715,2646,14052,766,-1991,-275,337,small_decrease
서울특별시 광진구,H,164,3776,168,3472,171,2911,141,2588,164,2597,167,2682,-561,-323,9,85,small_increase
서울특별시 광진구,I,2502,13240,2616,13821,2767,13707,2094,10634,2159,10298,2370,11671,-114,-3073,-336,1373,small_decrease
서울특별시 광진구,J,308,2700,281,2710,279,2224,284,2097,337,3301,462,3411,-486,-127,1204,110,small_increase
서울특별시 광진구,K,197,4557,203,4712,200,4105,181,2815,184,2770,197,2686,-607,-1290,-45,-84,small_increase
서울특별시 광진구,L,472,2393,488,2807,541,3136,535,2708,592,2955,601,2609,329,-428,247,-346,small_increase
서울특별시 광진구,M,542,3754,594,4490,612,4752,605,4496,723,5329,779,6237,262,-256,833,908,small_increase
서울특별시 광진구,N,318,9848,320,10054,370,9635,326,11525,355,8692,360,9292,-419,1890,-2833,600,small_increase
서울특별시 광진구,P,641,11212,630,11057,677,11161,639,10220,606,11185,625,10065,104,-941,965,-1120,small_decrease
서울특별시 광진구,Q,869,10056,875,10963,885,10898,896,11084,889,11464,930,11951,-65,186,380,487,small_increase
서울특별시 광진구,R,373,2889,390,3050,397,3377,278,2342,261,2223,300,2474,327,-1035,-119,251,small_increase
서울특별시 광진구,S,872,3621,851,3625,896,3941,743,3272,732,2872,760,2961,316,-669,-400,89,small_increase
서울특별시 동대문구,A,0,0,0,0,0,0,0,0,1,2,2,7,0,0,2,5,big_increase
서울특별시 동대문구,B,1,1,1,1,2,4,1,1,0,0,0,0,3,-3,-1,0,big_increase
서울특별시 동대문구,C,2263,12461,2145,11968,2008,11334,1852,10059,1695,9214,1771,9293,-634,-1275,-845,79,small_increase
서울특별시 동대문구,D,1,3,1,2,2,3,1,1,0,0,0,0,1,-2,-1,0,big_increase
서울특별시 동대문구,E,10,128,10,131,12,122,12,178,10,229,11,228,-9,56,51,-1,big_increase
서울특별시 동대문구,F,549,5972,545,5572,572,5601,408,4367,442,3791,462,4102,29,-1234,-576,311,small_decrease
서울특별시 동대문구,G,4811,23322,4456,23026,4719,23368,4174,20897,3965,20003,4106,20075,342,-2471,-894,72,small_increase
서울특별시 동대문구,H,192,3468,192,3132,185,3170,156,2396,164,2534,157,2551,38,-774,138,17,small_increase
서울특별시 동대문구,I,2505,10499,2395,10745,2662,11161,1864,7405,1901,7689,2028,8745,416,-3756,284,1056,small_decrease
서울특별시 동대문구,J,180,1484,168,1711,154,1525,168,1536,197,1561,235,1626,-186,11,25,65,big_increase
서울특별시 동대문구,K,261,4969,252,4287,235,3979,218,3902,234,3915,236,4302,-308,-77,13,387,small_increase
서울특별시 동대문구,L,574,3754,568,3705,610,3540,625,3385,584,3460,580,3325,-165,-155,75,-135,small_increase
서울특별시 동대문구,M,447,6822,472,6496,489,6747,468,7169,558,7092,600,6167,251,422,-77,-925,small_increase
서울특별시 동대문구,N,305,8938,293,8496,330,8430,285,10606,288,7662,306,7910,-66,2176,-2944,248,small_increase
서울특별시 동대문구,P,566,10930,567,11825,609,12294,515,10776,511,10996,542,12053,469,-1518,220,1057,small_decrease
서울특별시 동대문구,Q,974,14009,978,13774,1008,14376,980,15606,968,16256,1020,17205,602,1230,650,949,small_increase
서울특별시 동대문구,R,305,1797,329,1884,322,1733,223,1397,217,1406,257,1723,-151,-336,9,317,small_increase
서울특별시 동대문구,S,836,3275,839,3374,875,3289,749,2650,671,2337,739,2616,-85,-639,-313,279,small_increase
서울특별시 중랑구,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,big_increase
서울특별시 중랑구,B,1,3,1,3,0,0,0,0,2,5,2,4,-3,0,5,-1,big_increase
서울특별시 중랑구,C,2525,14670,2391,13780,2224,12834,1953,10792,2021,10722,2108,11476,-946,-2042,-70,754,small_decrease
서울특별시 중랑구,D,5,122,5,108,4,116,4,172,3,104,3,101,8,56,-68,-3,big_increase
서울특별시 중랑구,E,13,201,16,215,13,195,15,188,12,135,19,155,-20,-7,-53,20,big_increase
서울특별시 중랑구,F,734,5257,736,5781,811,6231,498,4910,573,5367,622,5494,450,-1321,457,127,small_decrease
서울특별시 중랑구,G,2253,11888,2110,11757,2217,11533,1910,9869,1924,9947,1987,10467,-224,-1664,78,520,small_decrease
서울특별시 중랑구,H,210,7264,222,6760,227,6165,183,5313,181,5079,164,4880,-595,-852,-234,-199,small_increase
서울특별시 중랑구,I,1843,7619,1742,7670,1909,8043,1328,5612,1487,6165,1628,7009,373,-2431,553,844,small_decrease
서울특별시 중랑구,J,91,874,94,813,99,644,112,823,147,908,165,1039,-169,179,85,131,big_increase
서울특별시 중랑구,K,128,1689,136,1772,135,1717,128,1695,123,1582,131,1588,-55,-22,-113,6,big_increase
서울특별시 중랑구,L,383,1974,393,2120,466,2310,428,1917,440,2063,421,1723,190,-393,146,-340,small_increase
서울특별시 중랑구,M,237,1537,242,1552,261,1586,267,1262,300,1668,318,1866,34,-324,406,198,small_increase
서울특별시 중랑구,N,212,2706,212,2616,273,2997,212,2579,221,3643,246,3958,381,-418,1064,315,small_increase
서울특별시 중랑구,P,477,4557,450,4594,459,4662,421,3968,430,3953,445,3965,68,-694,-15,12,small_increase
서울특별시 중랑구,Q,950,11346,960,11800,994,12746,1013,13613,1018,13935,1051,15163,946,867,322,1228,small_increase
서울특별시 중랑구,R,295,1575,313,1688,334,1748,235,1290,233,1374,250,1397,60,-458,84,23,small_increase
서울특별시 중랑구,S,866,2916,879,3048,913,2959,781,2313,731,2323,745,2331,-89,-646,10,8,small_increase
서울특별시 성북구,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,big_increase
서울특별시 성북구,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,big_increase
서울특별시 성북구,C,1491,7794,1363,6901,1318,6631,1176,6071,1175,5511,1267,5780,-270,-560,-560,269,small_increase
서울특별시 성북구,D,4,10,4,9,2,6,1,1,3,5,2,6,-3,-5,4,1,big_increase
서울특별시 성북구,E,7,171,7,172,9,164,10,218,13,225,14,253,-8,54,7,28,big_increase
서울특별시 성북구,F,376,3560,361,3706,401,3858,284,3432,315,3101,352,4750,152,-426,-331,1649,small_decrease
서울특별시 성북구,G,2162,11806,2014,11600,2145,11451,1889,9913,1885,10211,1894,10026,-149,-1538,298,-185,small_decrease
서울특별시 성북구,H,106,3290,103,3078,103,2668,91,2521,86,2279,88,2338,-410,-147,-242,59,small_increase
서울특별시 성북구,I,2171,9462,2145,10011,2339,10320,1718,7237,1838,8053,1972,8701,309,-3083,816,648,small_decrease
서울특별시 성북구,J,161,1452,162,1598,172,1623,180,1784,250,2015,267,1821,25,161,231,-194,small_increase
서울특별시 성북구,K,135,1582,128,1493,129,1559,120,1386,126,1465,129,1477,66,-173,79,12,small_increase
서울특별시 성북구,L,374,1870,370,1859,425,2968,430,1941,436,1914,430,1791,1109,-1027,-27,-123,small_increase
서울특별시 성북구,M,324,3812,335,4174,350,5243,332,4772,409,6140,443,6348,1069,-471,1368,208,small_increase
서울특별시 성북구,N,161,5476,162,5148,192,5941,163,5634,183,5479,197,4820,793,-307,-155,-659,small_increase
서울특별시 성북구,P,749,15848,737,16366,737,17006,680,16616,660,16107,691,16154,640,-390,-509,47,small_increase
서울특별시 성북구,Q,1024,12205,995,12475,999,12927,1005,15200,978,15449,1031,16735,452,2273,249,1286,small_increase
서울특별시 성북구,R,294,1536,317,1716,340,1766,252,1255,259,1432,268,1484,50,-511,177,52,small_increase
서울특별시 성북구,S,996,3990,939,3725,935,3663,800,2826,782,3010,834,3228,-62,-837,184,218,small_increase
서울특별시 강북구,A,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,big_increase
서울특별시 강북구,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,big_increase
서울특별시 강북구,C,964,5802,902,5133,892,5037,753,4048,810,4093,795,4041,-96,-989,45,-52,small_increase
서울특별시 강북구,D,1,80,1,83,2,83,1,83,1,83,1,85,0,0,0,2,big_increase
서울특별시 강북구,E,7,163,6,174,6,172,8,203,11,146,10,199,-2,31,-57,53,big_increase
서울특별시 강북구,F,265,1765,269,1835,288,1912,215,1585,267,2220,266,1943,77,-327,635,-277,small_increase
서울특별시 강북구,G,1512,7752,1411,7588,1622,7928,1363,6158,1456,6606,1483,6592,340,-1770,448,-14,small_decrease
서울특별시 강북구,H,99,3627,102,3409,94,3196,78,3105,95,2945,96,3231,-213,-91,-160,286,small_increase
서울특별시 강북구,I,1761,7825,1609,7578,1849,8327,1285,5747,1388,6173,1461,7082,749,-2580,426,909,small_decrease
서울특별시 강북구,J,67,643,69,611,82,686,77,488,92,580,111,647,75,-198,92,67,big_increase
서울특별시 강북구,K,222,3996,233,4137,236,4110,204,3696,194,4075,188,3791,-27,-414,379,-284,small_increase
서울특별시 강북구,L,286,1439,266,1392,293,1294,259,1144,297,1254,300,1232,-98,-150,110,-22,small_increase
서울특별시 강북구,M,206,1044,217,1102,221,1144,218,1060,257,1311,266,1276,42,-84,251,-35,small_increase
서울특별시 강북구,N,146,3231,134,3338,153,3660,131,3424,162,3036,146,3594,322,-236,-388,558,small_increase
서울특별시 강북구,P,339,3362,319,3332,354,3585,310,3197,304,3464,322,3606,253,-388,267,142,small_increase
서울특별시 강북구,Q,794,7850,794,8443,798,9237,799,9698,807,10246,829,10537,794,461,548,291,small_increase
서울특별시 강북구,R,262,1438,273,1476,286,1580,171,1003,183,1122,198,1392,104,-577,119,270,small_increase
서울특별시 강북구,S,743,2806,721,2707,736,2702,603,2126,582,2112,606,2072,-5,-576,-14,-40,small_increase
서울특별시 도봉구,A,1,2,1,3,1,1,0,0,0,0,1,3,-2,-1,0,3,big_increase
서울특별시 도봉구,B,0,0,0,0,1,1,0,0,0,0,0,0,1,-1,0,0,big_increase
서울특별시 도봉구,C,695,3967,652,3607,599,3265,524,2764,465,2246,498,2414,-342,-501,-518,168,small_increase
서울특별시 도봉구,D,0,0,0,0,3,21,3,25,2,30,1,7,21,4,5,-23,big_increase
서울특별시 도봉구,E,10,139,10,133,9,124,9,77,11,164,11,154,-9,-47,87,-10,big_increase
서울특별시 도봉구,F,337,2918,347,3193,354,3380,244,2893,275,2737,254,2043,187,-487,-156,-694,small_increase
서울특별시 도봉구,G,1531,8254,1460,8308,1519,8364,1232,6268,1264,6600,1244,6645,56,-2096,332,45,small_decrease
서울특별시 도봉구,H,98,5135,99,5029,92,4152,70,3630,82,3699,77,3690,-877,-522,69,-9,small_increase
서울특별시 도봉구,I,1282,5334,1214,5578,1346,6035,931,4150,1082,4542,1015,4431,457,-1885,392,-111,small_decrease
서울특별시 도봉구,J,60,357,58,404,54,377,50,270,69,436,81,483,-27,-107,166,47,big_increase
서울특별시 도봉구,K,117,1299,117,1264,101,1089,95,1004,103,1098,106,1153,-175,-85,94,55,big_increase
서울특별시 도봉구,L,327,2060,330,2211,369,2243,303,2446,327,2797,309,2662,32,203,351,-135,small_increase
서울특별시 도봉구,M,255,1703,259,1676,257,1665,226,1441,280,1832,294,1813,-11,-224,391,-19,small_increase
서울특별시 도봉구,N,119,1289,121,1768,134,1975,123,1782,145,2073,147,3152,207,-193,291,1079,small_increase
