Region,Industry,2017_c,2017_w,2018_c,2018_w,2019_c,2019_w,2020_c,2020_w,2021_c,2021_w,2022_c,2022_w,GRDP,Factor_Income
인천광역시 연수구,H,179,3260,210,3203,222,3163,226,2970,272,3602,301,4133,365282,227834
인천광역시 연수구,I,2369,12641,2369,12697,2473,13196,1977,10751,2195,11662,2442,13481,231681,210757
인천광역시 연수구,J,137,1268,161,1445,183,1728,222,1712,286,1946,489,2799,319089,180370
인천광역시 연수구,K,118,1265,119,1234,126,1411,123,1403,128,1345,144,1522,454307,409560
인천광역시 연수구,L,575,3074,667,3509,722,3754,747,3426,812,3541,1084,3980,1162923,692508
인천광역시 연수구,M,355,6213,413,7411,450,7436,496,7965,623,9019,778,9774,,
인천광역시 연수구,N,236,4301,232,5002,242,5257,220,5146,249,5960,275,6176,1797099,1590785
인천광역시 연수구,P,762,7347,777,7495,847,7954,813,8521,814,9276,930,10012,800491,690622
인천광역시 연수구,Q,766,8790,789,9008,835,9764,869,10288,876,10892,972,12838,518456,468149
인천광역시 연수구,R,300,1962,349,2323,374,2201,253,1650,277,1886,319,2253,290593,207104
인천광역시 연수구,S,749,2479,775,2748,810,2855,691,2289,678,2347,750,2636,,
인천광역시 남동구,A,1,26,1,1,3,5,4,23,3,72,3,71,16938,14201
인천광역시 남동구,B,0,0,0,0,0,0,1,1,2,2,2,4,489,391
인천광역시 남동구,C,5923,82146,5984,80598,5975,77873,5821,73176,6285,73299,6431,73967,5815997,4240211
인천광역시 남동구,D,3,53,4,84,4,57,5,61,6,71,5,71,69822,21681
인천광역시 남동구,E,105,1203,117,1317,125,1374,127,1233,151,1280,149,1256,,
인천광역시 남동구,F,811,12294,934,14765,993,14434,886,12682,1157,15452,1140,13418,343680,324943
인천광역시 남동구,G,4429,21077,4306,20872,4266,20945,3738,17569,4077,19320,3946,18950,908551,815536
인천광역시 남동구,H,211,3258,223,3396,274,3584,213,2943,234,3395,236,3474,362425,221977
인천광역시 남동구,I,3538,15495,3537,16262,3943,16895,2690,11617,2890,12289,3075,13535,342890,320018
인천광역시 남동구,J,112,1094,136,1337,133,1163,127,1018,163,1234,208,1428,214092,126986
인천광역시 남동구,K,372,7276,377,6652,378,6766,360,6136,374,6717,396,6965,852467,772195
인천광역시 남동구,L,685,3778,672,4079,707,4148,677,4021,910,4968,863,4193,1358638,778128
인천광역시 남동구,M,612,5181,683,5560,752,6222,750,6362,814,6133,822,6269,,
인천광역시 남동구,N,397,10087,434,9808,464,9488,438,10567,482,12977,542,13550,990826,899236
인천광역시 남동구,P,935,6240,937,6720,959,6657,836,5762,845,5989,864,6095,765961,662760
인천광역시 남동구,Q,1398,19548,1414,21435,1473,23449,1485,24706,1530,28632,1577,30982,945445,851547
인천광역시 남동구,R,482,2331,524,2372,543,2366,327,1332,358,1480,388,1691,490340,356939
인천광역시 남동구,S,1442,4905,1466,5253,1519,5303,1271,4062,1326,4555,1354,4691,,
인천광역시 부평구,A,0,0,0,0,0,0,0,0,2,5,2,8,5258,4506
인천광역시 부평구,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시 부평구,C,2233,37209,2211,33336,2199,30262,2109,29181,2161,27421,2279,26867,2271032,1484096
인천광역시 부평구,D,5,474,6,494,6,528,6,532,6,635,7,561,45277,13891
인천광역시 부평구,E,32,286,31,297,28,258,26,254,30,277,34,287,,
인천광역시 부평구,F,662,8262,694,7999,734,8121,571,7952,675,7415,691,8765,859438,812138
인천광역시 부평구,G,3429,18224,3340,18083,3484,18018,2842,14235,2920,14602,3039,15428,754538,677345
인천광역시 부평구,H,222,3550,228,3818,267,3844,199,3421,196,3517,207,3601,275492,150136
인천광역시 부평구,I,2647,11522,2676,12203,2989,13061,2137,9610,2270,9967,2473,11288,226037,208711
인천광역시 부평구,J,97,1339,102,1431,111,1430,113,1445,166,1558,232,1825,346950,178706
인천광역시 부평구,K,379,7084,390,7565,380,7291,342,6496,343,5725,350,5581,714844,646369
인천광역시 부평구,L,551,2910,548,2943,581,2972,514,2524,583,2752,613,2633,1179506,665137
인천광역시 부평구,M,355,3270,366,3336,374,3153,363,5712,435,6380,487,6598,,
인천광역시 부평구,N,348,5784,354,5206,411,6289,346,4800,390,5763,425,5536,883214,792175
인천광역시 부평구,P,805,5964,771,5888,787,6038,705,5238,683,4896,696,5176,647100,559873
인천광역시 부평구,Q,1346,17042,1313,18024,1293,18083,1277,21664,1274,22072,1314,23659,818475,738322
인천광역시 부평구,R,386,1838,428,1946,473,2234,283,1353,262,1327,306,1643,300606,223111
인천광역시 부평구,S,1389,5079,1373,4836,1400,4939,1138,3851,1113,3848,1146,3845,,
인천광역시 계양구,A,2,7,3,7,2,4,1,2,2,4,4,16,1260,1066
인천광역시 계양구,B,1,15,1,29,1,21,1,30,2,30,2,29,8074,6464
인천광역시 계양구,C,1170,10590,1096,9725,1143,10148,1061,10244,1140,11252,1139,11570,806642,554391
인천광역시 계양구,D,0,0,1,3,0,0,0,0,0,0,0,0,21333,6711
인천광역시 계양구,E,25,277,26,306,28,327,28,311,32,309,35,346,,
인천광역시 계양구,F,410,4483,437,5146,487,5009,405,3942,482,6028,486,5468,312941,295973
인천광역시 계양구,G,1952,10308,1865,10194,1981,10397,1727,8801,1769,9320,1739,9029,452419,406091
인천광역시 계양구,H,143,3203,151,2982,181,2851,146,2701,164,2328,163,2632,211356,117999
인천광역시 계양구,I,1498,6835,1464,7032,1631,7269,1125,5030,1231,5526,1207,5677,132811,122843
인천광역시 계양구,J,56,590,62,508,60,395,61,316,68,359,86,519,85512,46752
인천광역시 계양구,K,120,1635,119,1640,113,1538,110,1353,111,1412,111,1420,259827,235976
인천광역시 계양구,L,363,1574,356,1606,399,1705,388,1538,354,1558,367,1456,671984,376924
인천광역시 계양구,M,263,1631,282,1691,295,1610,287,1491,308,1693,294,1573,,
인천광역시 계양구,N,180,5388,191,5054,207,6181,192,5655,210,5488,196,5705,248637,220971
인천광역시 계양구,P,453,3145,430,3019,477,3149,405,2604,357,2411,358,2440,418431,362976
인천광역시 계양구,Q,805,10952,784,11559,789,11873,778,12210,815,14166,836,14905,512814,460882
인천광역시 계양구,R,247,1196,242,1320,263,1342,170,834,167,791,200,986,181132,137313
인천광역시 계양구,S,778,2652,775,2549,802,2689,704,2435,687,2270,696,2348,,
인천광역시 서구,A,5,29,7,22,7,28,9,37,12,77,8,57,87496,75044
인천광역시 서구,B,12,175,8,111,7,130,5,111,5,102,4,72,17674,14148
인천광역시 서구,C,5518,63205,5767,64710,5890,64977,5812,62748,6444,65939,6511,67095,6468996,4658871
인천광역시 서구,D,15,1521,14,1501,18,1558,17,1521,17,1591,18,1575,1721465,540592
인천광역시 서구,E,123,3596,136,3850,158,2511,155,2700,184,3002,205,2860,,
인천광역시 서구,F,510,4762,594,5244,692,7378,633,7158,848,9481,880,10517,2611336,2462451
인천광역시 서구,G,3608,19766,3774,20995,4167,23093,3766,19572,4401,22567,4403,22465,1140957,1024019
인천광역시 서구,H,314,9443,348,13921,419,10540,384,9287,462,10618,452,10400,485965,302122
인천광역시 서구,I,2671,11096,2843,12573,3283,14039,2416,10052,2684,10975,2973,12697,271135,253526
인천광역시 서구,J,50,1210,54,1502,85,1825,104,1881,131,2358,197,2571,305981,152710
인천광역시 서구,K,153,1686,159,1864,168,1791,155,1629,168,1680,175,1847,467765,426813
인천광역시 서구,L,598,2209,638,2524,716,2470,686,2552,946,3032,1061,3409,1513539,856330
인천광역시 서구,M,259,3878,304,4373,381,6385,391,6798,478,7300,550,7308,,
인천광역시 서구,N,274,3068,290,3888,356,4539,329,3849,395,4715,431,5166,1270598,1117744
인천광역시 서구,P,831,5125,874,5454,992,5763,862,5023,879,5349,977,5982,788505,683100
인천광역시 서구,Q,1116,13808,1151,15201,1197,16552,1213,18528,1245,19169,1387,21698,850684,764657
인천광역시 서구,R,357,1987,407,2294,475,2429,299,1642,314,1778,366,2267,644383,474815
인천광역시 서구,S,1253,5056,1288,5243,1396,6026,1204,4893,1232,5064,1339,5252,,
인천광역시 미추홀구,A,1,2,1,2,1,6,1,1,0,0,0,0,5786,5059
인천광역시 미추홀구,B,0,0,0,0,0,0,0,0,1,2,1,1,3,2
인천광역시 미추홀구,C,1331,15046,1331,14529,1396,13615,1351,13003,1433,13376,1388,12716,877988,626926
인천광역시 미추홀구,D,2,130,3,132,4,254,4,231,4,249,4,257,209911,58203
인천광역시 미추홀구,E,29,306,28,308,28,301,28,312,39,317,41,347,,
인천광역시 미추홀구,F,606,5575,613,6075,687,6322,530,5220,574,5016,619,5441,664986,628919
인천광역시 미추홀구,G,2749,13080,2531,12936,2686,13296,2332,10106,2365,10843,2335,10663,571536,513210
인천광역시 미추홀구,H,344,5927,347,6062,357,5697,313,4999,351,4746,362,4180,440244,264518
인천광역시 미추홀구,I,2315,9009,2307,9644,2615,10513,1763,7056,1925,7728,2097,8629,213128,195867
인천광역시 미추홀구,J,142,1100,124,1026,109,851,112,777,130,881,139,907,122587,76043
인천광역시 미추홀구,K,288,5058,282,4796,280,4853,252,4048,259,4143,256,3831,603664,546723
인천광역시 미추홀구,L,441,1996,406,1951,413,1907,395,1733,503,2496,520,2257,1040598,587471
인천광역시 미추홀구,M,609,4388,639,4612,698,4833,681,5178,702,5462,678,4991,,
인천광역시 미추홀구,N,294,6150,288,6701,335,6765,301,5148,342,6482,345,7393,505753,456239
인천광역시 미추홀구,P,506,6201,502,6028,527,6321,474,5882,472,5588,499,6333,643125,552375
인천광역시 미추홀구,Q,933,12595,937,13212,960,14912,939,15385,980,16534,1029,18184,675297,609746
인천광역시 미추홀구,R,351,1376,354,1582,424,1756,262,1062,258,1118,310,1429,298402,220424
인천광역시 미추홀구,S,1160,4586,1141,4479,1188,4444,1020,3473,998,3512,1044,3896,,
인천광역시 강화군,A,12,81,14,77,19,107,25,186,37,236,40,256,110287,98649
인천광역시 강화군,B,1,46,3,51,3,60,2,52,2,55,2,55,6885,5512
인천광역시 강화군,C,214,2562,221,2662,246,2656,261,2728,279,3109,293,3011,226346,173399
인천광역시 강화군,D,2,39,2,42,1,41,3,46,3,48,2,46,12497,3820
인천광역시 강화군,E,7,58,7,41,8,45,8,40,11,49,12,54,,
인천광역시 강화군,F,140,1000,138,858,160,1046,146,853,204,1262,224,1232,140869,132797
인천광역시 강화군,G,274,1143,285,1263,323,1384,320,1356,352,1381,353,1349,102345,91887
인천광역시 강화군,H,15,258,18,406,30,437,23,357,27,325,31,430,55081,31557
인천광역시 강화군,I,449,1630,504,1904,605,2287,518,1877,479,1661,553,2044,73624,57793
인천광역시 강화군,J,17,70,20,82,20,104,22,85,24,87,31,108,16730,9061
인천광역시 강화군,K,40,525,38,497,37,478,36,509,36,467,35,485,123472,113830
인천광역시 강화군,L,34,105,41,125,43,129,33,92,48,153,62,156,182399,102578
인천광역시 강화군,M,42,192,50,225,56,226,54,215,57,237,60,236,,
인천광역시 강화군,N,24,127,21,129,23,160,22,154,21,134,25,157,30928,27723
인천광역시 강화군,P,70,616,63,542,66,534,60,501,54,445,59,509,116060,100484
인천광역시 강화군,Q,161,2254,159,2716,167,2932,166,2842,162,3204,176,2995,146101,124351
인천광역시 강화군,R,40,249,48,337,54,432,44,364,48,385,53,380,87459,64691
인천광역시 강화군,S,264,646,277,715,293,686,279,604,273,642,273,577,,
인천광역시 옹진군,A,7,101,6,50,8,50,7,36,9,52,9,51,25760,21806
인천광역시 옹진군,B,1,3,0,0,1,4,1,6,0,0,0,0,10,8
인천광역시 옹진군,C,28,154,34,160,37,394,28,335,27,138,30,136,4707,3580
인천광역시 옹진군,D,16,805,16,776,16,905,16,987,13,1033,14,1017,9039,2809
인천광역시 옹진군,E,2,4,2,5,3,7,4,8,3,9,4,12,,
인천광역시 옹진군,F,56,728,62,762,70,991,67,969,79,934,79,891,64018,60313
인천광역시 옹진군,G,70,234,65,234,84,308,85,262,74,226,73,245,20025,17978
인천광역시 옹진군,H,18,133,19,116,22,188,20,125,20,101,22,133,51260,33782
인천광역시 옹진군,I,207,650,177,584,248,842,172,575,143,454,142,475,38348,26757
인천광역시 옹진군,J,6,23,5,18,5,21,5,18,5,20,6,21,38941,14077
인천광역시 옹진군,K,15,99,15,108,15,106,13,109,12,97,13,108,37241,34420
인천광역시 옹진군,L,4,9,9,17,10,19,13,28,22,48,17,26,64985,35462
인천광역시 옹진군,M,1,1,2,3,2,9,3,8,3,8,2,5,,
인천광역시 옹진군,N,21,155,21,118,25,106,27,85,22,221,24,234,27114,23129
인천광역시 옹진군,P,7,27,6,20,4,22,4,13,4,16,3,16,33015,28861
인천광역시 옹진군,Q,25,286,27,287,30,326,28,323,31,328,30,346,41106,33153
인천광역시 옹진군,R,9,43,8,40,8,47,9,55,14,84,14,69,33108,26919
인천광역시 옹진군,S,59,91,60,79,72,98,77,99,70,112,84,140,,
광주광역시 동구,A,2,10,4,23,3,9,4,7,5,8,8,16,4936,4023
광주광역시 동구,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광주광역시 동구,C,377,1453,353,1327,314,1234,270,995,280,1072,286,1100,49539,40074
광주광역시 동구,D,15,40,16,44,26,60,16,31,12,35,11,23,26229,7655
광주광역시 동구,E,5,55,3,50,4,58,4,58,9,123,11,140,,
광주광역시 동구,F,350,3363,341,3404,326,4157,263,3881,293,3753,317,4064,326375,307905
광주광역시 동구,G,2463,10130,2215,9205,2328,9111,1460,5690,1485,5860,1508,6056,260736,236630
광주광역시 동구,H,106,954,111,1113,106,1000,69,994,66,1048,68,1079,92470,46025
광주광역시 동구,I,1685,6669,1558,6553,1665,6538,1027,4200,1100,4398,1230,5077,116596,105046
광주광역시 동구,J,153,913,119,981,114,2173,118,2122,173,4021,218,4055,144282,95339
광주광역시 동구,K,314,4901,277,4357,274,4109,247,3849,256,3877,253,3932,504702,459174
광주광역시 동구,L,317,1324,342,1393,398,1349,363,1122,433,1401,482,1460,354313,216188
광주광역시 동구,M,606,3498,621,3821,644,3704,583,3570,607,3673,632,3634,,
광주광역시 동구,N,278,5012,269,4725,254,5403,203,4240,218,4064,221,3951,413639,376349
광주광역시 동구,P,444,5023,375,4884,402,5596,282,5325,288,4760,294,5189,297129,252171
광주광역시 동구,Q,442,9313,431,9429,452,10223,433,11617,459,13140,479,13474,528279,483797
광주광역시 동구,R,261,1327,231,1344,260,1422,159,1087,159,973,175,843,159071,111950
광주광역시 동구,S,793,2242,687,1964,711,2217,542,1475,530,1300,574,1489,,
광주광역시 서구,A,10,108,10,82,8,70,7,76,8,48,12,79,9727,8647
광주광역시 서구,B,5,40,6,47,6,39,7,28,6,30,7,17,2148,1717
광주광역시 서구,C,483,10385,482,10359,525,10022,484,10047,480,9909,507,10729,1985100,1103560
광주광역시 서구,D,27,326,37,357,32,351,31,357,32,382,31,382,74500,21580
광주광역시 서구,E,21,515,18,516,20,540,22,621,28,647,36,686,,
광주광역시 서구,F,1294,15593,1350,16465,1375,17342,1273,16254,1351,17559,1482,18118,333393,314294
광주광역시 서구,G,3535,19095,3392,18972,3735,20122,3225,16435,3351,16903,3355,16096,738911,670486
광주광역시 서구,H,168,4365,177,4246,193,4166,153,3809,151,4194,159,3535,189555,117212
광주광역시 서구,I,2608,12303,2573,12779,2854,13731,1950,9517,2027,9393,2109,10136,222761,204362
광주광역시 서구,J,167,1572,176,1674,171,1635,157,1377,149,1784,182,1651,290371,172183
광주광역시 서구,K,648,14099,638,14347,645,12629,598,11506,625,12425,623,11181,1141803,1037087
광주광역시 서구,L,645,6456,700,7027,779,7352,787,6474,830,7947,915,8684,963518,588820
광주광역시 서구,M,702,5059,743,5909,842,6570,823,6800,832,6594,878,6476,,
광주광역시 서구,N,439,10136,458,11040,482,11066,460,10079,465,10143,468,9195,916750,836265
광주광역시 서구,P,720,4157,704,4187,741,4360,630,3706,610,3449,614,3474,789392,690048
광주광역시 서구,Q,1048,12308,1026,12651,1039,13389,1030,14041,1023,16092,1074,17295,1088557,991769
광주광역시 서구,R,343,1732,394,1953,410,2467,268,1721,265,1302,266,1348,335149,255231
광주광역시 서구,S,1224,5174,1221,5157,1258,5256,1062,3998,1010,3994,1066,4257,,
광주광역시 남구,A,2,15,3,16,4,12,7,20,5,8,8,22,18740,16662
광주광역시 남구,B,0,0,0,0,0,0,0,0,1,1,2,4,85,68
광주광역시 남구,C,185,1393,182,1402,196,1341,175,1077,174,1039,168,1067,44001,33392
광주광역시 남구,D,4,11,16,23,28,36,24,29,11,14,4,4,40156,11519
광주광역시 남구,E,21,280,20,300,20,308,20,281,21,307,17,224,,
광주광역시 남구,F,515,7246,552,7540,582,8065,420,8081,393,8049,396,7994,287820,271326
광주광역시 남구,G,1169,5277,1195,5602,1314,6195,1089,4412,1021,4444,1036,4363,226769,205794
광주광역시 남구,H,58,1769,63,2028,78,1533,51,1193,55,1538,47,1412,72831,42916
광주광역시 남구,I,1040,4175,1065,4485,1200,5090,819,3526,879,3860,961,4453,99094,93087
광주광역시 남구,J,81,985,91,1034,99,897,96,876,96,895,116,890,121378,64409
광주광역시 남구,K,94,791,100,865,98,827,97,765,97,895,100,893,169906,155300
광주광역시 남구,L,304,1475,348,1532,447,1768,434,1442,387,1703,421,1521,534774,313958
광주광역시 남구,M,148,1128,154,1171,194,1421,180,1430,208,1372,219,1702,,
광주광역시 남구,N,152,2512,156,2504,176,1772,135,1442,144,1629,150,1498,221744,203041
광주광역시 남구,P,546,5769,551,5998,592,6019,575,5607,542,5550,544,5611,441066,377118
광주광역시 남구,Q,708,10610,704,11907,727,13030,721,13819,711,13751,752,14941,560124,509298
광주광역시 남구,R,195,1021,220,1175,239,1031,158,691,168,818,169,837,203585,153924
광주광역시 남구,S,641,2679,668,2875,725,2892,627,2393,584,2809,623,2438,,
광주광역시 북구,A,2,94,4,17,2,4,7,14,9,20,10,19,22660,19486
광주광역시 북구,B,1,6,1,6,3,9,1,8,1,1,1,1,11,9
광주광역시 북구,C,1465,19739,1473,19365,1527,19180,1436,18702,1498,17912,1550,18638,1926718,1247198
광주광역시 북구,D,36,398,63,466,41,480,36,405,57,448,50,434,97576,28374
광주광역시 북구,E,15,248,14,255,18,240,26,249,31,346,30,301,,
광주광역시 북구,F,1510,19642,1565,21851,1578,20833,1314,18603,1504,20743,1561,21358,710564,670149
광주광역시 북구,G,4119,19018,4020,19017,4173,19198,3640,15894,3616,16303,3659,16392,708752,643063
광주광역시 북구,H,254,5433,253,6074,301,5825,233,4770,242,5122,227,5213,211191,124682
광주광역시 북구,I,2876,11352,2896,11404,3070,12532,2033,8270,2283,9156,2386,10341,238484,219707
광주광역시 북구,J,140,1681,144,1593,184,1713,191,1845,235,2090,277,2205,378506,207083
광주광역시 북구,K,252,3064,248,2905,253,3433,243,2868,246,2699,252,2672,410548,373969
광주광역시 북구,L,573,3650,619,3806,708,3494,680,3416,788,3790,805,3966,1064095,624369
광주광역시 북구,M,584,5144,579,4943,645,5435,632,5443,711,6611,822,7338,,
광주광역시 북구,N,404,8309,397,7639,436,8077,393,7211,428,7900,436,7831,976766,880557
광주광역시 북구,P,901,7632,875,7522,912,7877,776,6881,774,6851,755,6766,825067,713119
광주광역시 북구,Q,1286,17306,1280,17765,1311,19321,1326,20922,1340,23143,1393,23977,1023099,934537
광주광역시 북구,R,527,2391,588,2649,591,2744,345,1656,355,1670,355,1735,392517,296975
광주광역시 북구,S,1400,4626,1422,4814,1459,4749,1243,3681,1215,3891,1265,4195,,
광주광역시 광산구,A,8,197,12,207,9,238,15,254,17,251,18,285,69352,60777
광주광역시 광산구,B,2,6,1,4,0,0,0,0,2,7,3,8,1394,1114
광주광역시 광산구,C,3005,48645,3105,48914,3275,49410,3127,47515,3367,49207,3497,50257,6735035,4612463
광주광역시 광산구,D,16,427,20,445,36,580,34,474,35,601,33,504,126121,37188
광주광역시 광산구,E,72,584,72,564,83,646,78,576,94,841,90,635,,
광주광역시 광산구,F,793,7578,867,8029,961,8029,896,6892,998,8086,1128,7995,640731,603593
광주광역시 광산구,G,3500,16368,3574,17177,3847,17950,3278,14543,3398,16364,3609,16066,722634,655670
광주광역시 광산구,H,406,7133,440,7746,535,7688,433,6396,528,6655,560,6866,433079,239932
광주광역시 광산구,I,2858,11874,2802,12329,3153,13770,2175,9404,2320,9953,2592,11049,253805,234989
광주광역시 광산구,J,79,1145,89,1319,98,1589,96,1494,94,1133,129,1279,287765,149597
광주광역시 광산구,K,160,1820,165,1876,174,1999,170,1810,167,1840,167,1777,383885,350257
광주광역시 광산구,L,454,2343,497,2591,567,2756,551,2702,550,3152,632,2416,971189,570887
광주광역시 광산구,M,260,1811,292,2364,333,2461,315,2273,361,2418,396,2796,,
광주광역시 광산구,N,287,4303,318,4170,399,4639,361,4247,382,5090,421,5075,877633,796806
광주광역시 광산구,P,1009,7130,1021,7561,1050,7334,968,6408,845,6163,774,5794,638062,548500
광주광역시 광산구,Q,1162,14491,1179,15697,1197,16571,1176,16503,1121,17434,1219,18440,715650,653191
광주광역시 광산구,R,403,2116,452,2289,474,2224,297,1513,313,1519,347,1564,433887,342167
광주광역시 광산구,S,1092,4045,1133,4302,1209,4673,991,3663,953,3513,1035,3672,,
대전광역시 동구,A,0,0,0,0,1,1,1,1,2,5,1,1,5046,4436
대전광역시 동구,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대전광역시 동구,C,898,4876,872,4774,899,4920,860,4644,870,4701,894,4849,277858,218523
대전광역시 동구,D,3,486,2,435,3,504,4,554,6,562,5,569,25501,-26040
대전광역시 동구,E,10,137,11,147,12,151,14,128,24,187,24,172,,
대전광역시 동구,F,424,4584,417,4895,460,5339,361,5900,417,6283,451,6166,193942,182768
대전광역시 동구,G,1849,9550,1838,9668,1940,9903,1667,8180,1719,8707,1711,8666,405622,364864
대전광역시 동구,H,153,5443,150,9759,166,5149,141,4980,157,4226,161,4519,189983,105629
대전광역시 동구,I,1349,5488,1321,5548,1508,6070,1073,4377,1098,4527,1165,5025,117794,110507
대전광역시 동구,J,66,637,65,557,69,476,70,406,88,626,87,604,45539,30648
대전광역시 동구,K,104,1022,103,920,102,889,97,875,96,885,97,877,139964,130010
대전광역시 동구,L,242,1138,239,1155,232,1050,227,976,257,997,269,998,533662,304077
대전광역시 동구,M,132,1503,135,1508,158,1678,144,1767,166,1964,180,1996,,
대전광역시 동구,N,156,3308,153,3087,166,4222,159,4822,158,4261,167,4660,292773,271159
대전광역시 동구,P,315,4788,295,4752,311,4733,260,4462,260,4565,274,4629,391438,340047
대전광역시 동구,Q,737,7771,738,8307,735,8576,715,9528,723,9762,756,10116,368151,330752
대전광역시 동구,R,157,718,185,811,198,851,115,485,121,502,135,598,156121,126447
대전광역시 동구,S,695,2158,724,2175,753,2417,689,2024,670,2031,673,2016,,
대전광역시 중구,A,0,0,0,0,1,1,1,1,4,18,2,8,3489,3175
대전광역시 중구,B,0,0,0,0,1,5,1,4,1,3,1,1,110,88
대전광역시 중구,C,398,2396,410,2619,422,2613,365,2268,339,2003,342,2136,121910,95049
대전광역시 중구,D,3,293,3,368,3,341,7,353,6,353,2,374,189638,51615
대전광역시 중구,E,21,540,20,553,20,553,19,117,20,598,21,97,,
대전광역시 중구,F,576,5997,626,6854,611,6852,464,6096,448,7473,536,6201,231749,218588
대전광역시 중구,G,2471,11758,2331,11477,2439,11598,1906,9028,1677,8211,1713,8281,385314,356484
대전광역시 중구,H,148,3581,156,3695,165,3116,135,2966,136,2576,133,2569,149822,84110
대전광역시 중구,I,1790,7687,1830,7754,2012,8362,1313,5396,1281,5177,1416,5910,150775,143534
대전광역시 중구,J,99,1247,91,1233,106,1206,101,1168,112,1332,157,1621,219539,113352
대전광역시 중구,K,311,6113,301,5619,273,5937,256,5291,240,5923,229,4717,376643,339474
대전광역시 중구,L,277,1567,291,1689,319,1720,316,1680,266,1601,310,1605,640741,362024
대전광역시 중구,M,270,1782,281,1836,291,1938,259,1569,261,1722,250,1541,,
대전광역시 중구,N,314,9697,308,9544,341,7849,315,7247,287,7217,291,7761,531634,494165
대전광역시 중구,P,515,4296,510,4276,507,4372,416,3896,390,3839,381,3697,551149,475512
대전광역시 중구,Q,848,13785,855,14347,837,15123,811,16310,801,17271,863,17896,829707,737754
대전광역시 중구,R,264,1598,294,1632,302,1619,181,1248,179,1178,197,1438,245715,204052
대전광역시 중구,S,1004,3114,1048,3145,1079,3420,930,2535,812,2546,831,2552,,
대전광역시 서구,A,7,341,9,296,7,346,10,209,9,180,12,183,5995,4657
대전광역시 서구,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대전광역시 서구,C,444,2777,448,2900,494,3144,457,2751,437,2403,522,2854,152120,117682
대전광역시 서구,D,11,329,11,321,8,354,18,395,13,355,9,148,28978,16145
대전광역시 서구,E,23,145,27,147,23,144,25,141,25,197,27,197,,
대전광역시 서구,F,928,11768,929,12243,934,13993,773,12889,745,12304,951,15273,574368,541057
대전광역시 서구,G,4353,20584,4325,20900,4432,21479,3571,16255,3433,15923,3727,17493,870663,780371
대전광역시 서구,H,153,2519,148,2546,179,2381,147,1987,147,1856,176,2363,165146,95473
대전광역시 서구,I,3419,16061,3477,16959,3750,17171,2742,12394,2921,12835,3199,14787,352541,328743
대전광역시 서구,J,318,4647,322,4573,356,4813,364,4945,418,5521,549,5931,647257,379084
대전광역시 서구,K,676,13335,667,13114,684,12919,640,11280,651,11030,665,11306,1571498,1424419
대전광역시 서구,L,793,6217,828,5785,863,6011,852,5538,789,5464,891,5653,1540601,917702
대전광역시 서구,M,1028,7169,1046,7350,1129,8069,1149,8283,1151,8463,1257,8973,,
대전광역시 서구,N,529,18347,540,15928,610,15959,539,14667,508,15583,571,16439,1411262,1307973
대전광역시 서구,P,1106,11703,1093,11583,1172,11859,1056,10404,977,9486,1053,10031,1109925,952088
대전광역시 서구,Q,1652,19831,1631,20709,1666,22205,1615,23458,1528,22019,1633,23584,1085497,975534
대전광역시 서구,R,492,2446,542,2740,622,2895,366,1933,366,1784,428,2002,389965,295807
대전광역시 서구,S,1535,6514,1576,6372,1626,6005,1408,5094,1277,4525,1381,4859,,
대전광역시 유성구,A,5,13,5,22,9,40,17,96,19,76,22,57,19748,17449
대전광역시 유성구,B,1,5,1,3,1,2,2,2,5,9,3,5,597,478
대전광역시 유성구,C,1131,19474,1197,20213,1370,21263,1327,21619,1545,22997,1641,25092,2544622,1632456
대전광역시 유성구,D,13,295,11,297,10,287,14,311,17,370,17,367,103056,62517
대전광역시 유성구,E,19,255,14,234,18,242,23,727,29,472,30,809,,
대전광역시 유성구,F,669,10781,703,10725,786,12474,726,13010,889,14379,903,14691,1121595,1053642
대전광역시 유성구,G,3034,14510,3008,14731,3212,15727,2973,19533,3618,17814,3696,18453,687354,629125
대전광역시 유성구,H,140,2283,151,2391,183,2429,154,1991,173,2454,182,2399,172626,96439
대전광역시 유성구,I,3120,14519,3168,15310,3350,15300,2468,11950,2732,13235,2981,14610,400947,353187
대전광역시 유성구,J,430,5923,457,6289,512,6758,554,7406,633,8510,757,9544,566923,430376
대전광역시 유성구,K,150,1386,155,1441,168,1527,159,1473,168,1564,193,1599,280326,258224
대전광역시 유성구,L,482,2666,502,2709,573,2867,562,2757,685,3149,690,2907,825223,481173
대전광역시 유성구,M,795,32037,869,31869,990,34179,1068,36389,1191,39202,1273,41234,,
대전광역시 유성구,N,284,4897,282,4822,345,5372,323,6297,338,7097,358,7873,5901338,4874341
대전광역시 유성구,P,707,8123,711,8145,770,8312,707,8324,699,8960,694,9127,811747,702336
대전광역시 유성구,Q,1005,10371,993,11009,991,12065,969,12550,999,13384,1030,13699,525662,487330
대전광역시 유성구,R,320,1933,352,1999,383,2250,247,2108,277,1992,297,2078,432492,323232
대전광역시 유성구,S,959,4000,984,4018,1038,4311,874,3819,949,3892,1040,4077,,
