Region,Industry,2017_c,2017_w,2018_c,2018_w,2019_c,2019_w,2020_c,2020_w,2021_c,2021_w,2022_c,2022_w,GRDP,Factor_Income
서울특별시 성동구,L,657,4738,700,4754,755,4993,708,4224,837,4374,909,4736,1399153,668480
서울특별시 성동구,M,1004,11476,1167,12938,1399,14856,1463,15863,1846,20516,2128,22363,,
서울특별시 성동구,N,307,15413,323,18978,373,17528,370,17678,459,16321,478,15043,2455686,2183760
서울특별시 성동구,P,512,8267,521,8111,562,8462,499,7633,508,6889,553,7886,770965,658365
서울특별시 성동구,Q,718,8161,719,8314,735,9045,748,9255,751,9204,775,10042,427523,387040
서울특별시 성동구,R,234,1505,241,1496,283,1505,220,1508,251,1681,265,1710,416433,328358
서울특별시 성동구,S,889,6161,870,6171,864,6412,759,5538,773,5546,809,5851,,
서울특별시 광진구,A,1,3,1,3,0,0,0,0,1,2,3,4,147,110
서울특별시 광진구,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시 광진구,C,1203,6673,1129,6381,1077,6093,926,4978,912,4511,963,4973,239093,183570
서울특별시 광진구,D,2,3,2,68,2,7,1,1,3,11,2,8,53099,15402
서울특별시 광진구,E,11,147,11,150,11,146,10,147,12,149,13,192,,
서울특별시 광진구,F,602,12572,597,13453,621,13219,495,9399,521,12437,564,12744,352326,330959
서울특별시 광진구,G,2977,15582,2819,15215,3006,15981,2719,13990,2769,13715,2646,14052,825666,752564
서울특별시 광진구,H,164,3776,168,3472,171,2911,141,2588,164,2597,167,2682,138824,79180
서울특별시 광진구,I,2502,13240,2616,13821,2767,13707,2094,10634,2159,10298,2370,11671,325153,279360
서울특별시 광진구,J,308,2700,281,2710,279,2224,284,2097,337,3301,462,3411,240910,171580
서울특별시 광진구,K,197,4557,203,4712,200,4105,181,2815,184,2770,197,2686,205533,186954
서울특별시 광진구,L,472,2393,488,2807,541,3136,535,2708,592,2955,601,2609,994240,473376
서울특별시 광진구,M,542,3754,594,4490,612,4752,605,4496,723,5329,779,6237,,
서울특별시 광진구,N,318,9848,320,10054,370,9635,326,11525,355,8692,360,9292,837482,754840
서울특별시 광진구,P,641,11212,630,11057,677,11161,639,10220,606,11185,625,10065,711600,608847
서울특별시 광진구,Q,869,10056,875,10963,885,10898,896,11084,889,11464,930,11951,603065,545752
서울특별시 광진구,R,373,2889,390,3050,397,3377,278,2342,261,2223,300,2474,288692,219561
서울특별시 광진구,S,872,3621,851,3625,896,3941,743,3272,732,2872,760,2961,,
서울특별시 동대문구,A,0,0,0,0,0,0,0,0,1,2,2,7,138,112
서울특별시 동대문구,B,1,1,1,1,2,4,1,1,0,0,0,0,75,64
서울특별시 동대문구,C,2263,12461,2145,11968,2008,11334,1852,10059,1695,9214,1771,9293,446807,336095
서울특별시 동대문구,D,1,3,1,2,2,3,1,1,0,0,0,0,48459,14042
서울특별시 동대문구,E,10,128,10,131,12,122,12,178,10,229,11,228,,
서울특별시 동대문구,F,549,5972,545,5572,572,5601,408,4367,442,3791,462,4102,513765,482581
서울특별시 동대문구,G,4811,23322,4456,23026,4719,23368,4174,20897,3965,20003,4106,20075,1180160,1075648
서울특별시 동대문구,H,192,3468,192,3132,185,3170,156,2396,164,2534,157,2551,153463,89844
